,caption
119,"The US Ecology team participated in Texas Adopt-A-Beach day. Nearly 70 team members and their families participated to help clean up beaches in Galveston and Mustang Island, Texas. One group reports removing approximately 500 pounds of plastics waste! The Texas Adopt-A-Beach program is a volunteer effort that began in 1986. This program keeps Texas beaches clean, educates Texans about harmful marine debris and rallies Texas support for state, national and international action to clean coastal waters. #Volunteer #GivingBack #OceanCleanup #BeachCleanup #TexasAdoptaBeach"
120,"Functional - Simple - Luxurious 

Sleep made modern with the Restonic iDream Range.

Save 15% on the Restonic iDream Dream Support Bed Set or Mattress Only.

- Medium Comfort Feel
120kg Max Weight Per Person
Latex Flex Comfort Layer
2 Years Guarantee & 20 Years Warranty

Link in bio

#bedsonline #sleep #dream #restonic #luxury #sleepislife #idream #shoponline #supporttheenvironment #oceancleanup #seaqual"
121,"Back in 2018, The Ocean Cleanup engineered a slow-moving apparatus called System 001 designed to wade through the patch to retrieve garbage with a massive net. The nonprofit, which wants to remove 90 percent of floating plastic by 2040, is now conceptualizing its third iteration of the machine that will be the largest and most efficient model to date.System 002 removed more than 100,000 kilograms of plastic as of July 2022. Read more @theoceancleanup or @colossalmedia #oceancleanup #greatgarbagepatch #recycle #garbagepatchcleanup #savethebay #savetheoceans #savetheplanet #ecofriendly #ecoawareness #oceanplastic #enviromentalawareness #microplastics #plasticproblems #plasticawareness #newportri #plasticrecyclingbreakthroughs"
122,"The Sea Change team spent this morning on the south coast 🌊 taking part in the @mcs_uk Great British Beach Clean Week 🏖  Over a small area of the shoreline, we collected almost 4.5kg of litter ☹ Scroll through to see just a small selection of items that we found ♻️ After our beach clean we enjoyed a fantastic lunch at @chipwickfishandchips, home of award-winning food and a Sea Change Wine stockist 😍🍷 

@MCS_UK @chipwickfishandchips #SeaChangeWine #TurntheTide #OceanConservation #GreatBritishBeachClean #OceanCleanUp #BeachLitter #CleanOceans #BeatPlasticPollution #SustainableLiving #PlasticPollution #ReduceReuseRecycle #ConsciousConsumer #ProductsWithPurpose #PositiveChange"
123,"Ocean Warrior, Iakoba Kirario sorting through plastic baskets and ghost nets. The crew would manually pull out plastic debris from the North Pacific Gyre by hand, sometimes weighing 50-100kg’s+ and would take 2-3 crew members to safely pull the plastic onto deck. Depending on the size, the larger mysterious plastic objects and ghost nets weighing tons would be removed by operating the Kwai crane. 
💪🏽🌊🗺⛴🌏🐠
.
.
.
.
.
#oceancleanup #ghostnets #plastic #oceanconservancy #plasticwastesolutions #fishingnet #northpacificocean #sail #sailing #boat #kwai #savetheoceans #plasticcleanup #plasticpollutes #plasticpollution #plasticpositive"
124,"Plastic Free Cayman and Compass Media showed up for #worldcleanupday! 🤩💪🏼

1150lbs and 125 volunteers later, Colliers Beach is looking ten times better!! Thank you to all the volunteers who participated and to @plastic_free_cayman for organizing the clean-up. 

Keep an eye out for next months clean-up this coming October! We can’t wait to see you there ☀️ 

@worldcleanupday.global 
#compassmedia #caymanislands #cayman 
#plasticfree #caymanislands #plasticfreecayman #singleuse #bansingleuseplastic #beachcleaning #beachcleanup #protectwhatyoulove #teamwork #zerowaste #oceancleanup"
125,"Article on our website: geekriches.com

'The Ocean Cleanup': We expect to be able to clean the entire Great Pacific Garbage Patch (100,000,000kg of plastic)

#theoceancleanup #pacificocean #oceanplastic #oceancleanup #ocean #oceanpollution #nature"
126,"A massive thank you to everyone that turned up for our Beach Cleanup and Mindfulness Morning with @selfawear @humpbacks_and_highrises & @whitney.geoghegan 💙

It was great to see so many people turn up to do their part for their community and environment whilst repping some awesome tees!

Over 70 people collected 43.5kg of rubbish in just 40 minutes! What can seem a clean area can surprise you! 😱

In total there were over 2760 items catalogued with that including close to 1000 cigarette butts, 278 plastic food packaging, 167 hard and solid plastic, 45 aluminium cans and interesting items like watches, car keys and dog bedding! 

We finished with a great breathwork session with Whitney as a perfect way to start our weekends and to de-stress. 🥰

Official photos and videos are on their way and we have loved seeing you tag us in all your stories and posts. #dogoodfeelgood 

If you missed out but would love to contribute to volunteering, 100% of the limited edition Selfawear tee sales go to helping Volunteering programs on the Gold Coast. LINK IN BIO 📲😊"
127,"Big shout out to all those who came and joined us, @umhlangarockssuperspar  and Reid Raetzer Robsons at the beach clean up at Glenashley on Saturday. 
.
.
There was a lot of polystyrene that had to removed from the natural debris and thanks to your effort it did not end up in our oceans. 
.
.
If you couldn't make it please consider donating to the project via our website, www.thelitterboomproject.co.za, so we can continue to make a meaningful impact on the ever increasing amount of marine plastic pollution flowing into our oceans. 
.
.
Just R200 pays for us to clean up 20kgs of plastic. 
.
.
#Parley #ParleyAir #ParleyForTheOceans #OceanConservation #OceanPollution #OceanCleanUp #internationalcoastalcleanup #worldcleanupday #plasticpollution #banpolystyrene"
128,"So that's the first weekend of  @mcs_uk #BigBritishBeachClean challenge done.

We returned to Balchladich today to finish off & removed another 168kg of ropes & plastic from the beach.
Bringing our total for the beach this weekend to 681kg

Thanks to those that turned out to help ! 

#BeachCleanChallenge #beachclean #beach #plasticpollution #plastic #beach #marineconservation #oceancleanup #InternationalCleanupDay"
129,"cheers to a great coastal cleanup day. thanks to everyone who came out for the event. more photos from yesterday soon to come. another 179lbs of trash removed from our beaches🤙🏼 great afterparty @brixxandbarley

thanks @fcousteauolc @surfridercentralli @longbeachnewyorkofficial 

.
.
.
#lbcleanup #longbeachny #citybythesea  #volunteer #makeadifference #lbny #cleanup #longbeach #longislandlife #11561 #lbny11561 #nassaucounty #pointlookoutny #coastalcleanup #oceanconservation #beachvibes #longislandny #longisland #lbnynotcalifornia #sunsets #longbeachnynotcalifornia #oceancleanup #oceanlovers #beachcleanup #atlanticbeachny #discoverlongisland #longislandbeaches"
130,"Cayman showed #worldcleanupday who was boss today!! 🤩💪🏼

1150lbs and 125 volunteers later, Colliers Beach is looking ten times better!! Thank you to all the volunteers who showed up for our environment today and to @compassmediacayman for sponsoring this amazing clean up happen!

Thank you to all the school groups for bringing so much enthusiasm and passion, and to any and all other individuals and groups who came out this morning to make a difference! 

Keep an eye out for next months clean up this coming October! We can’t wait to see you there!! 

@worldcleanupday.global 
#plasticfree #caymanislands #plasticfreecayman #singleuse #bansingleuseplastic #beachcleaning #beachcleanup #protectwhatyoulove #teamwork #zerowaste #oceancleanup"
131,"633,5 kg trash from Roskilde Harbor collected by divers, SUP, kayaks and helpers on land. What an amazing event ♻️🌊 Check out @osomhavet and support their work. We can't wait for next season 👏
.
.
.
.
.
#oceancleanup #osomhavet #jenterpåeventyr #girlsonadventure #outdoormoments #exploremore #outdoorwomen #turjenter #äventyrare #visitroskilde"
132,"Tomorrow is International Coastal Cleanup Day! Are you doing anything to clean up your local shoreline?
 
If the answer is “no” but you want it to be “yes” then come help clean up the Des Moines Marina! You can sign up for a time slot at the link in our bio. Last year we picked up 500 lbs of debris off the beach and out of the ocean, let's beat that number this year!
 
#internationalcoastalcleanup #beachcleanup #PugetSound #SalishSea #oceancleanup @highline_mast_center_aquarium @seattledivetours"
133,"Malaysia Day Beach Clean Up 
Clean Up No. 47
Lokasi: Pantai Pelindung
Tarikh: 16.9.2022 

Jenis sampah yang dikutip: 
Kebanyakkan sampah adalah botol² plastik sekali guna, botol gelas, bekas minuman & makanan plastik, bungkusan makanan, polisterin, tali, dan lampin pakai buang bayi (belambak 'diapers' baby dikutip hari ni) 

Berat sampah yang dikutip: Anggaran 90 kg 

Bilangan wira: 33
• 9 dewasa
• 24 kanak-kanak/remaja 

Sponsor:
 
• Terima kasih @majlisbandarayakuantan & Alam Flora yang telah menyediakan tong roro untuk longgokkan sampah. Terima kasih En. Amri, En. Halbed & Pn. Sabrina yang sentiasa menyokong aktiviti Trash Hero Kuantan 

• KayShoun : Terima kasih sponsor sarung tangan kain 

Pembersihan Pantai Pelindung sempena Hari Malaysia dilakukan bersama-sama Kelab Alam Sekitar Sekolah Menengah Kebangsaan Tengku Afzan. Seramai 20 orang pelajar bersama-sama 4 orang guru turut serta dalam sesi gotong-royong hari ini. Terima kasih kepada Pn. Yani yang telah menolong menyelaraskan sesi gotong royong pada hari ini. 

Turut serta pada hari ini, Ms. Chelsina Kong, Pengerusi Lions Club Indera Mahkota, bersama-sama keluarga, dan Dr. Zafri Azran bersama anak saudara Alya, dari Kelab Go Go Green Pahang. 

Terima kasih diucapkan kepada semua sukarelawan yang hadir. Sama-sama kita pastikan Kuantan terus bersih, cantik & lestari 💛🙏👌 

Jika anda ingin turut serta dalam sesi gotong royong kami, sila pantau FB dan IG Trash Hero Kuantan. Jika anda ingin mendermakan peralatan untuk sesi gotong-royong, sila DM kami di sini. Terima kasih. 

Selamat Hari Malaysia, semua! 
🇲🇾 💛🥳 

#stoplittering #litterpick #environment #awareness #wastedisposal #responsibledisposal #nosingleuseplastic #stopplasticpollution #sustainability #ecowarriors #ecovolunteers #eastcoast #beachcleanup #oceancleanup #kutipsampah #sukarelawan #alamsekitar #wirakebersihan #pantaitimur #kuantan #pantaipelindung #pantaibeserah #merdekacleanup #harimalaysia #malaysiaday #trashherokuantan #trashheromalaysia #trashheroworld #trashherokids"
134,"Functional - Simple - Luxurious 

Sleep made modern with the Restonic iDream Range.

Save 15% on the Restonic iDream Zonal Flex Bed Set or Mattress Only.

- Plush Comfort Feel
- 130kg Max Weight Per Person
- Gel Memory Foam Comfort Layer
- Seaqual Textiles, Supporting Ocean Clean-up
- 3 Years Guarantee & 20 Years Warranty

Link in bio

#bedsonline #sleep #dream #restonic #luxury #sleepislife #idream #shoponline #supporttheenvironment #oceancleanup #seaqual"
135,"what a massive group of volunteers that came out to help at our last sunset beach cleanup of the season. with everyone’s help we removed 151 pounds of trash from our beach in just one hour! @marvelfrozendairy was kind enough to give each volunteer a free icecream last night too. you really made some of those kids day🤙🏼 and to @tobaysandman for building some amazing sand sculptures for us

we now move our beach cleanups to the weekend, starting this saturday 9/17 for international coastal cleanup day. more details to follow

.
.
.
#lbcleanup #longbeachny #citybythesea  #volunteer #makeadifference #lbny #cleanup #longbeach #longislandlife #11561 #lbny11561 #nassaucounty #pointlookoutny #coastalcleanup #oceanconservation #beachvibes #longislandny #longisland #lbnynotcalifornia #sunsets #longbeachnynotcalifornia #oceancleanup #oceanlovers #beachcleanup #atlanticbeachny #discoverlongisland #longislandbeaches"
136,"Thank you to everyone who signed up or showed up for our @shorelinecleanup on Kitsilano Beach!

Our volunteers picked up 14kg of litter over 2km of shoreline, mostly consisting of small pieces of litter and micro plastics!

Cleaning our local beaches not only benefits the marine ecosystems and wildlife that are directly affected by marine waste, but also keeps the spaces clean and pleasant for our community!

We hope to see you all at the next one! Stay tuned!

#oceancleanup #vancouverbeaches #northwestwildlife"
137,"This past June we had the absolute pleasure of teaming up with @townlinehomes to complete a shoreline cleanup project, resulting in close to 7,000kgs of debris being removed from over 42km of shoreline.

Townline reached out to us interested in getting involved in the restoration of our coastal habitats, with the intention of promoting awareness within their company AND being an industry leader.

The founder of Townline has a lifelong relationship with the Ocean through surfing and windsurfing. He has spent his life enjoying the magic the Ocean offers and as their company gets further into its environmental responsibility journey, RCRS seemed like a perfect fit.

This development company has some brilliant initiatives coming down the pipe to help deal with their construction waste. This shoreline project was to put forth resources toward professionals (us) to have an immediate impact. 

For one day of fieldwork, 25 employees joined our crews to learn about the marine debris problem we face and get firsthand experience in the work required to tackle it. 

It was a blast to witness the changes in some of these folks as they experienced the mess we see every day and to hear all the banter of actions they are all planning to take into their lives.

This inspiration for change is why Rugged Coast does what we do, aside from the obvious drive to better our marine environment of course 😉

Thank you Townline!!

🎥 @in_balance_productions 

#protectwhatyoulove #oceancleanup #beachcleanup #townlinehomes #plastics #oceanplastics #marinedebris #saveourseas #bethechange #plasticsfreesea #marinehealth #tofino #westcoastcleanup #pacificgarbagepatch #rcrs #ruggedcoast"
138,"Amazing things can happen when we work together. For every survey you fill out, we will collect an additional 1kg of ocean bound plastic. Complete the Cleanhub survey linked in our bio!"
139,"Did you know?! 

The Litter Ridder is made of recycled plastic bottles. It’s made of the very litter we pick up! 🤣 
The Litter Ridder can hold 62 500ml bottles or 10 lbs of mixed litter. 

Be sure to add your email to the link in our bio to stay updated on when we launch on Kickstarter 🙌
(hint hint… you also get access to the early bird discounted price 👀)"
140,"Oh hey it's just me over here sitting on a pile of 72kgs of plastic I collected off our beaches.

You can often find me nestled amongst plastic, either collecting it, cleaning and sorted it, or creating art with it.

You may screw your face up at it as often it's people's discarded and dirty rubbish.

But I like to see the beauty in all things, and plastic is no exception.
Which is why I enjoy the process of turning all of this into works of art.

I turn sadness into beauty x

Much love, Lorella x

#plastic #plasticart #plasticocean #conservation #seachange #ocean #oceanplastic #beachclean #beachcleanup #zerowaste #plasticfree #artivism #take3forthesea #2minutebeachclean #oceancleanup #earthlove #oceanlove #ocean #gaia #Papatūānuku #pachamama"
141,"Another successful clean up yesterday with @dxdivers at the Pompano Pier.  Good Karma Squad pulled 13.6 lbs of trash from the ocean.  Most was fishing line, weights, hooks.  Most interesting item - laptop battery! Thanks @susana.novo for joining us on the dive and @seaturtleop for spreading the word on the importance of clean oceans for sea turtles. 

#goodkarmasquad 😇 #inspirechange #plasticpollution 
#noplastic 
#pollutionfree 
#breakfreefromplastic #reducereuserecycle♻️
#recycle #savethecoralreefs
#protecttheoceans
#underwater
#underwaterworld
#marinelife
#marineconservation
#marinewildlife #florida
#oceancleanup #seaturtle 
#seaturtles
#seaturtleconservation 
#seaturtlelove
#savetheseaturtles
#noplasticbags #seapollution"
142,"Georgie's idea to do a #beachcleanup, so we headed to Curl Curl Beach; 7kg in about an hour and half after high tide this afternoon. 
And thanks to @cheznouscreperie for an amazing treat before we headed home!
.
.
#oceancleanup #litter #surfing #beach #sydney @scouts.australia #2ndgordon"
143,"Love what this group is doing! @theoceancleanup has as of last month removed over 100,000 kilograms of plastic pollution from the Pacific Ocean!

Dm for credit or removal 

#oceancleanup #ocean #environment #sustainability #savingtheenvironment #plasticpollution"
144,"The Ocean Cleanup has removed more than 100,000 kg of plastic from the Great Pacific Garbage Patch (GPGP) ♻️🌊✨

Since start in August 2021 it has collected 101,353 kg of plastic over 45 extractions, sweeping an area of ocean of over 3000km2 – comparable to the size of Luxembourg or Rhode Island. 
If this 100,000 kg haul is repeated 1,000 times – the Great Pacific Garbage Patch would be gone!

Have you heard of @theoceancleanup ?
If you want to support such an amazing initiative, follow them on social media and spread the word, or visit their website and make a donation 🌊 💚

Source:

https://theoceancleanup.com/updates/first-100000-kg-removed-from-the-great-pacific-garbage-patch/

#saveoceans #saveocean #plasticpollution #plasticpollutes #plasticisnotfantastic #plasticfree #oceancleanup"
145,"50 tons of plastic removed 💙🐋🌱 Thank you to everyone who made this year's coastal cleanup possible!
Wow, I can't believe that today was my last day of cleaning marine waste with @inthesameboat.eco for this season. We started cleaning up the coast in May, and we already removed almost 50.000 kgs of plastic from the coastline. The work will continue for another month without me, while I'm taking some long anticipated vacation for a few months.

There's a handful of people I need to thank for making this year's season possible,

First and most importantly of all, my amazing team of beach cleaners who showed up every single day with a big smile:

@renae.desrochers @tomantle @i.am.wilk @mariakristians1 @_zoe.b_ @tooonetodok @lia.halivni @mcos_1 @veena_vignesh @vanonsel @jacobcabot @george.kendall @elise1662 @karo.biner @elineelbersen @max.o_sullivan @larsmenke16 @tabithastoller

I also need to thank @visit_bugoynes for the great hospitality, and everyone in Kirkenes who welcomed us with open arms.

Of course, thank you to @inthesameboat.eco for giving me the opportunity to run this team, and to @miljofondet for financing our operarion.

And so many other people! You all give me so much hope ♡

#cleanoceans #beachcleaning #protectwhatyoulove #oceancleanup #liveterbestute"
146,"For the month of September 2022, anyone who gets preapproved and any new agents we work with will receive a @4ocean Eagle Ray bracelet to pull a pound of trash from the ocean, rivers and coastlines while raising awareness of the effects plastic pollution has on these rare rays.⁠
⁠
Fun Fact:⁠ Spotted eagle rays grow to a maximum length of 16.4 feet, including the tail, and 507 pounds⁠
⁠
#MoreThanMortgages #EagleRay #PlasticFree #4ocean #NewaAgents #Preapproved #OceanCleanUp #SaveOurSeas #ClimateChange #SaveThePlanet #SamaritanMortgageGroup"
147,"🌟100 pounds of trash removed!

Highlights from our recent cleanup of Ballona Wetlands:

✅ We successfully removed 100lbs of trash
✅ First cleanup run by LAX Ambassador, Alon
✅ Strangest trash finds: Skeleton decor, a cone, chair, hairdryer, and much more
✅ First cleanup pup, Olive, to join the crew!"
148,"Conservation - Marine Debris

While we collect debris on every dive, we also organize and support multiple large scale clean up dives each year.  These efforts regularly result in 500-1000 pounds of debris removed on each clean up.  In 2022, we have received a grant from PADI AWARE to support and enhance these clean ups. 

Find out more about our large scale clean ups below.

Des Moines Marina 
Each year for International Coastal Clean Up Day, we partner with SR3, the City of Des Moines, Des Moines Marina, MaST Aquarium and Washington Scuba Alliance to clean the Des Moines pier area around the existing tire reefs.  We have been working this project for 3-4 years and we still remove 500-1000 pounds of debris each year. 

Seacrest Pier
We work in partnership with Seattle Parks and Recreation and King County Marine Division (operator of the West Seattle Water Taxi) to clean under the Seacrest Pier. 
On our initial clean at this pier, we removed over 500 pounds of debris from this site with 10-12 divers. Part of this debris volume was over 600 squid jigs on this single clean up. 

Seattle Dive Tours is a 100% PADI Aware, Green Star, PADI 5 Star Dive Resort and a 1% for the Planet and Green Fins member.
 
@PADIAWARE @PADITV"
149,"Every 60 seconds a garbage truck full of plastic pollution is dumped into the ocean! 🚛🗑🌊🆘

That’s equivalent to 25,000 kilos or 55,000 pounds every minute! ⏱👀

All that adds up to over 13,000,000,000 kilos or 28,700,000,000 pounds a year! 🌋

We’re working on a scaleable solution to reverse this but we can only do it with your help! 
If you want to support our mission to capture and recycle oceanic plastic pollution please buy one of our recycled products or donate to our PayPal. 

If you can’t afford to support us but want to help go to your local beach, lake, or river and collect as much plastic as you can and make sure it gets recycled! Together we can stop this pollution! ♻️👷🤖

#recycle #recycled #recycling #recycledmaterials #recycledart #art #abstractart #contemporaryart #modernart #artwork #vase #zerowaste #beachcleanup #beachpollution #oceancleanup #oceanpollution #plastic #plasticpollution #plasticreuse #plasticfree #3dprinting #3dmodeling #3dprinted #savetheplanet #savetheocean #savethewhales #savetheturtles #ai #artificialintelligence"
150,"💚 Happy Thursday => Eco news day 🤩

🌊The world’s largest ocean 🌊

The Pacific Ocean is the largest and deepest ocean on Earth. It spans 60 million square miles from California to China, and in certain regions extends tens of thousands of feet below the surface of the water 🌎

There are over 2,000 species that are only found in one of the Pacific island countries, and almost half of those are Threatened (Critically Endangered, Endangered, or Vulnerable) 🐠🐟

Protecting marine environments and species starts on land. Preventing pollution and restoring protective ecosystems is something we can all do in our community spaces ♻️

When you use eco-friendly products, separate waste, buy local goods, and ensure a balance between development and conservation, you are saving the ocean by limiting the impact we all individually have on it 🌱

We are also trying to do our part, therefore every candle from our Ocean collection cleans 1 kg of plastic out of the rivers and prevents this plastic from entering the ocean 💙

#mycandles4planetmoment #candles4planet #candleswithimpact #saveplanet #saveearth #savenature #ecofriendlyliving #noplanetb #reuserecycle #globalwarmingisreal #sustainabilitymatters  #plasticpollution #plasticfreeoceans #beachcleanup #saveouroceans #saveourseas #environmentfriendly #environmental #environmentalist #ecofriendlyproducts #ecofriendlyproduct #oceancleanup #oceancleaning #handmadework #handmake #ecomade #ecologicallymade #ecopro #ecoproduct #ecoproject"
151,"Super excited to spotlight some of the impactful work being done by a local Philly organization, @unitedbyblue. Yesterday, we took part in a waterway cleanup organized by UBB at Frankford Boat Launch and helped collect over 3,800 lbs of trash 🗑!!

Check out @unitedbyblue and @bottleunderground for some great volunteer opportunities ♻️:)

#BlueMovement #UnitedByBlue #ChangeComesInWaves #oceancleanup #plasticpollution"
152,"Beach Clean Up - Clean Up No. 46
Lokasi: Pantai Pelindung
Tarikh: 20.8.2022 

Sampah yang dikutip: 
Kebanyakkan sampah adalah botol² plastik sekali guna, botol gelas, bekas minuman & makanan plastik, bungkusan makanan, dan lampin pakai buang bayi 

Berat sampah yang dikutip: 21.91 kg 

Bilangan wira: 3
•2 dewasa
•1 kanak-kanak 

Malangnya hujan lebat hari ini di sekitar Beserah dan clean up hampir² dibatalkan. Tetapi bila dah sampai di lokasi, hujan renyai² saja jadi sukarelawan bertiga pun teruskan saja dengan Merdeka beach clean up. Clean up pun terpaksa dipendekkan kerana dah nak hujan di lokasi. 

Kebanyakkan sampah adalah sampah piknik yg dibuang oleh orang² yg tidak bertanggungjawab. Kawasan ini tiada tong sampah. Jadi bawa pulanglah sampah anda.  

Masih ada sampah plastik (bekas makanan/minuman plastik, lampin bayi dll.) yg dibakar dijumpai di pantai. Ramai orang tidak peka langsung berkenaan bahayanya membakar plastik. 

Pembakaran plastik melepaskan gas² toksik seperti dioksin, furans, merkuri dll. ke dalam atmosfera dan ini sangat merbahaya kepada kesihatan manusia dan haiwan.

Lampin bayi juga mengandungi plastik. Janganlah bakar. Buang di tempat sepatutnya. Takkan biar di pantai macam tu saja. Malulah ibu bapa yg buang diapers anak² di pantai. Bertanggungjawablah sikit. 

Kami bersih. Kami didik. Kami ubah. 

Be a Trash Hero. 
Make a difference 💛

#stoplittering #litterpick #environment #awareness #wastedisposal #responsibledisposal #nosingleuseplastic #stopburningplastic  #stopplasticpollution #sustainability #ecowarriors #ecovolunteers #eastcoast #beachcleanup #oceancleanup #kutipsampah #sukarelawan #alamsekitar #wirakebersihan #pantaitimur #kuantan #pantaipelindung #pantaibeserah #merdekacleanup #merdeka #malaysia #trashherokuantan #trashheromalaysia #trashheroworld #trashherokids"
153,"Coorong Cleanup 95 kilograms removed by @alexsteimo & myself & sorted by @gypsea_about_freedom thank you both.
#beachbushmarine #ocasack #yamaharightwaters #rightwaters #ocacleanup #coorongcleanup #ocasack #cleanup #beachcleanup #oceancleanup #keepaustraliabeautiful #nonprofit"
154,"When we are united, we can make a change.​​​​​​​​
​​​​​​​​
Virtu Made Bracelets, ​​​​​​​​
​​​​​​​​
1 bracelet purchased = 1 lb of trash removed from the oceans.​​​​​​​​
​​​​​​​​
Link in bio. ​​​​​​​​
​​​​​​​​
#handmadebracelets #virtumade #terracycle #terracycleglobalfoundation #bracelet #bracelets #handmadebracelet #sustainable #sustainablejewelry #ecologic #sustainability #sustainableaccessories #ecofriendly #sustainableliving #environment #zerowaste #sustainablefashion #oceancleanup #recycle #artisanmade #artisan #beachliving #beachlifestyle #beachlife"
155,"Ever wondered why a hammerhead shark’s head is shaped so strangely? 
 
Scientists have recently discovered that the unique hammer shape improves these sharks’ vision making them excellent hunters!
 
A hammerhead shark can reach up to 20 ft in length and weigh up to 1,000 pounds!
 
Want to know what else is unique about these blockheaded sharks?
 
Great Hammerheads like to swim sideways
Scalloped Hammerheads will actually sunbathe and get a tan! 
But the Bonnethead species wins the prize for strange traits. In Nebraska, a female Bonnethead had a virgin birth. The staff was baffled because the shark tank only housed females and none of them had seen a male in three years.
 
Follow @ekonova_official for more fun marine facts and everything #ecofriendly."
156,"Welcome to the waters of the Mactan Islands!🌊 Employees from our Philippines Engineering Tech Center worked together with volunteers to collect over 815 pounds of ocean waste. The team shared, ""This is just a tiny drop in the (literal) oceans of garbage out there, but we hope that this project causes ripples that encourages others to endeavor in making the Earth a tad better, one project at a time.""🌏 #LearSustainability #TeamLear #oceancleanup #protecttheocean"
157,"35 pounds of #lead #fishingline #touristeggs #golfballs with this amazing group of people. Thank you for spending your Saturday morning with us! #oceancleanup #ecotourism #conservation #bethechange #teamworkmakesthedreamwork 

#diveagainstdebris #scubadiving #scuba #divelife #maui #mauihawaii #protecttheocean #savetheturtles #honu #divewithharmony #oceanconservation #cleanup"
158,"+ 500 tons of plastic. 500.000 kg of plastic that has been removed from the environment ♻️

What a beautiful way to celebrate the anniversary of when we began construction of our recycling center last year.

It was a very far figure, but we have achieved it. Now, we won't stop until we double it. New projects are on the way, and hopefully this figure will be completely ridiculous in our near future.

Build a world to be inherited🌍
#mondo4africa
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#newrecord #nolimits #unlimited #zerowaste #zerowaste #zeroplastic #plasticcrisis #watercrisis #environment #medioambiente #pollution #contaminacion #climatechange #cambioclimatico #cleanup #trashchallenge #beachcleanups #beachcleanup #saveourplanet #saveourseas #saveourbeaches #sustainable #sustainability #beachcleaning #makeadifference #beachguardian #oceancleanup #beachlitter #OceanConservation"
159,"a HUGE mahalo to these legends for removing 165 lbs of trash from the beach today! 👊🏽 ⁣
⁣
@hannahtuomistobell @julietuomistobell @gotmoosefur 
⁣
#hawaii #zerowastehawaii #hawaiibeaches #beachclean #beachcleanup #oceanlife #oceanguardian #plasticpollution #plasticsucks #plasticfree #oceancleanup #cleantheocean"
160,"Our partnership with @4ocean has now pulled over 2,500 pounds of trash out of the ocean and off the shores. We recently had a crew in Bali clean up Kendungu Beach!!! 

But that's only 25% of what our goal is for 2022 and we have no plans of stopping!! 

Not only are we making an impact with our clean ups in the United States but worldwide because our goal isn't limited to just what we do domestically! 

We are so thankful for the support because your support is what allows us to strive towards our goals. For ways to support us and get involved please visit http://ow.ly/ZyHt50KikF9 

#reishore #4ocean #reishoreclothing #reishoremedia #oceancleanup #bali #recycledapparel #ocean #KendunguBeach"
161,"Every second over 1,000 pounds of plastic enters the ocean. 🚨

That’s 30 tons (60,000 pounds) or the equivalent of two fully loaded large dump trucks every minute! 🚛🚛

All that adds up to over 33 billion pounds a year! 🌋 

We have plans to reverse this but it’s only possible if we have your support!

Please consider visiting our website and contributing to our PayPal or purchasing one of our 3D printed products! 🆘

#recycle #recycled #recycling #recycledmaterials #recycledart #zerowaste #beachcleanup #beachpollution #oceancleanup #oceanpollution #plastic #plasticpollution #plasticreuse #plasticfree #plasticreborn #plasticrecycle #3dprinting #3dmodeling #3dprinted #savetheplanet #savetheocean #savetheearth #savethewhales #savetheturtles #savethereef #ai #artificialintelligence #redetec3d"
162,"Manatees are known as sea cows. This name is apt due to their large bodies, slow lolling movements, and their propensity for getting eaten by other animals. Despite their nickname, they are more closely related to the elephant.

Manatees can grow up to 11 feet long and weigh up to 1,000 pounds. With all that weight, comes a lot of food. They eat 1/10th of their body weight a day.

Even though they have the lowest brain-to-body ratios the manatees are as adept at experimental tasks as dolphins, one of the smartest animals on the planet.

As herbivores manatees graze on all kinds of aquatic vegetation. Plastic bags and 6-pack holders are especially dangerous to the sea cows. There have been manatees found with dozens of plastic bags in their stomach which causes the mammal to die of starvation. It’s important for all of our marine friends that we try and keep plastic out of our waters. Now more than ever it is easier to avoid single-use plastics. Do it for the manatees.

Follow @ekonova_official for more marine life facts."
163,"We just wrapped up a successful first collaboration event between @selangor_maritime_gateway, @raleighkualalumpur and Circular Future for the Mangroves Cleanup at Klang River yesterday. Plastic bottles, aluminium cans, used product packaging, polystyrene foam boards, worn-out bags, shoes and even helmets can be spotted trapped in the Mangrove forest. From this cleanup, a total of 910kg of trash was collected! Huge thanks to all our volunteers for their amazing support and hard work throughout the cleanup. May you all continue to make a difference for a better world. 

📸: @selangor_maritime_gateway

#circularfuture #raleighkualalumpur #SMG #environment #sdg #sdg11 #globalgoals #sustainable #circularfuture  #mangrovecleanup #zerowaste #oceancleanup #klangriver #circulareconomy"
