,caption
312,"12/03 - CALDEIRA DAS LAJES (já perdemos a conta às vezes que viemos aqui)
Que bela manhã de Limpeza😁🚯♻️ com a preciosa ajuda de S.Pedro☀️⛅
Mais uma vez tivemos um grupo fantástico, cheio de força e muito ativo. Um Enorme Obrigado a todos, por continuar connosco nesta luta e sejam bem-vindos, os novos ambientalistas 😊
Ao todo recolhemos 204kg de lixo marinho, urbano e agrícola 
👉🏼13 pessoas
👉🏼2h

Um agradecimento especial à Junta de Freguesia das Lajes pelo apoio e aos nossos parceiros eternos!
Sem vocês não seria possível!👏🏽
Até à próxima Limpeza 😎

@water4fun 
@fliptogreen
@ge_questa
@oceanlit_project

⚠️🚯🚮♻️🌎🌊
#LessPlasticMoreOcean 
#marinewasteonterceiraisland 
#marinelitter 
#oceancleanup 
#beachcleanup
#wastefreeoceans 
#pickupyourtrash 
#plasticfree 
#plasticfreeoceans 
#oceanplastic 
#plasticwaste
#plasticpollution 
#plasticrecycling 
#recycling 
#cleanoceans 
#cleancoasts 
#protectoceans 
#beachpolution
#5minutecleanbeach
#azoresislands 
#azoreswhatelse 
#azores 
#terceira_acores
#azoreslovers 
#iloveazores 
#byazores 
#shareazores 
#visitazores
#byacores
#terceiraisland"
313,"Let’s talk trash. We couldn’t do our job without our trusted Flotsam Retrievers of different sizes. These small but mighty boats  are able to clear 1,000,000 kg of marine debris from Singapore’s waters every year. Can you imagine what that looks like? Almost 68 double decker buses! 
.
.
.
.
.
#oceancleanup #ocean #plasticfree #plasticpollution #zerowaste #plasticfreeoceans #savetheplanet #oceanplastic #environment #cleanup #climatechange #saveouroceans #plasticocean #sustainability #recycle #oceanconservation #cleanoceans #oceans #savetheocean #ecofriendly #savetheoceans #saveourseas #nature #cleanocean #oceanlife #pollution #oceanpollution #plasticwaste #sustainability #clearwaters"
314,"On February 26, the #FCOLC Florida Program teamed up with CoastLove and the University of Miami’s Sustainability Institute for a #mangrove #cleanup at Ocean Forest in Key Largo, Florida. The team collected over 1500 pounds of marine debris at John Pennekamp Coral Reef State Park/Dagny Johnson Key Largo Hammock Botanical State Park. Thanks to all those who participated in the cleanup and to FDEP for their support to coordinate and remove the debris from our State Parks. More cleanups at the Ocean Forest site are planned with an upcoming event scheduled for Sunday, March 27th. 

You must register to participate: https://www.volunteercleanup.org/coastlove/ocean_forest_mangrove_cleanup_2pm3wjirexa5p5moofgnhg

CoastLove @umiamirsmas John Pennekamp Coral Reef State Park Concession Weloveu 

#oceanforest #keylargo #oceancleanup #conservation #doyourpart"
315,"Beach Clean Up - Clean Up No. 37
Location/Lokasi: Pantai Pelindung
Date/Tarikh: 10.3.2022 

Trash collected/Sampah yang dikutip: 
1 bag of single use plastic bottles & single use plastic straws
1 beg botol plastik sekali guna & straw plastik sekali guna 

Weight of trash/Berat sampah:
Approximately 1.5kgs
Anggaran 1.5kg

Number of heroes/Bilangan wira: Solo 

Quick evening #plogging session. When you go for a run, a jog, a stroll on the beach (or anywhere really) take a bag - pick some trash. Make a difference. It isn't that hard. And please, stop littering on the beach.

Sesi #plogging petang ni. Bila keluar untuk exercise, lari, joging atau jalan di pantai (atau di mana²) bawalah beg sekali - kutiplah sedikit sampah. Bawalah perubahan. Tak susah pun. Dan tolonglah jangan buang sampah di pantai. 

We clean. We educate. We change. 

#stoplittering #environment #awareness #wastedisposal #responsibledisposal #plogging #litterpicking #plasticpollution #nosingleuseplastic  #volunteers #eastcoast #beachcleanup #oceancleanup #kutipsampah #janganbuangsampahsembarangan #sukarelawan #alamsekitar #kesedaran #tanggungjawabbersama #wirakebersihan #pantaitimur #kuantan #pantaipelindung #pantaibeserah #pantaisepat #pantaibalok #telukcempedak  #trashherokuantan #trashheromalaysia #trashheroworld"
316,"Picture of one of the beaches your sponsorship cleaned in Manila, Philippines.⁠
⁠
Over 31,000 pounds of ocean trash were cleaned up thanks to the generous support of SeaBar's customers! ⁠
⁠
Thanks!!⁠
⁠
#oceancleanup #beachcleanup #detrash #cleantheocean #savetheocean #plasticpollution #beachtrash #"
317,"Beach Clean Up - Clean Up No. 36
Location/Lokasi: Pantai Pelindung
Date/Tarikh: 6.3.2022 

Trash collected/Sampah yang dikutip: 
Single use plastic bottles, single use plastic straws, food containers and wrappers (mostly plastic), used cough syrup glass bottles, flip flops 

Botol plastik sekali guna, straw plastik sekali guna, bekas dan pembalut makanan (kebanyakkan diperbuat dari plastik), botol gelas yang dulunya mengandungi ubat batuk, selipar 

**START REFUSING STRAWS! Only differently able people who need the aid of straws should be using them. Stop unnecessary plastic litter. 

**Mulakan kata TAK NAK STRAW! Hanya OKU yang memerlukan straw untuk membantu mereka minum sahaja yang perlu gunakan straw. Hentikan sampah plastik yang tidak diperlukan.

Weight of trash/Berat sampah:
Approximately 8kgs
Anggaran 8kgs
* 3 bags 

Number of heroes/Bilangan wira: Solo 

Sponsor: @pahangeco Thank you for the bags!

Due to the increase in COVID-19 cases, we are not having scheduled group clean ups. It was a solo one today. As usual, picnic goers were out at the beach. The sun was scorching after the rain yesterday. Beautiful morning. But trash filled beach sadly. Hoping all the picnic goers clear up after themselves. We can all make a difference. 

Your trash = Your responsibility

Oleh kerana kenaikkan kes COVID-19, kami tidak membuat pembersihan pantai berkumpulan. Solo clean up sahaja hari ini. Seperti biasa dah ada orang datang berkelah di pantai. Matahari dah terik selepas hujan semalam. Pagi yang cukup cantik. Tetapi pantai penuh dengan sampah. Harap² semua orang yang datang berkelah bersihlah selepas habis piknik. Kita semua mampu membawa perubahan. 

Sampah anda = Tanggungjawab anda 

We clean. We educate. We change. 

#stoplittering #environment #awareness #wastedisposal #responsibledisposal  #nosingleuseplastic #sustainability #ecowarriors #ecovolunteers #eastcoast #beachcleanup #oceancleanup #refuse #reduce #recycle #upcycle #alamsekitartanggungjawabbersama #pantaitimur #kuantan #majlisbandarayakuantan #alamflora  #sutravillaapartment  #pantaipelindung #pantaibeserah #pantaisepat #pantaibalok #telukcempedak  #trashherokuantan #trashheromalaysia #trashheroworld"
318,"Beach Clean Up - Clean Up No. 36
Location/Lokasi: Pantai Pelindung
Date/Tarikh: 6.3.2022 

Trash collected/Sampah yang dikutip: 
Single use plastic bottles, single use plastic straws, food containers and wrappers (mostly plastic), used cough syrup glass bottles, flip flops 

Botol plastik sekali guna, straw plastik sekali guna, bekas dan pembalut makanan (kebanyakkan diperbuat dari plastik), botol gelas yang dulunya mengandungi ubat batuk, selipar 

**START REFUSING STRAWS! Only differently able people who need the aid of straws should be using them. Stop unnecessary plastic litter. 

**Mulakan kata TAK NAK STRAW! Hanya OKU yang memerlukan straw untuk membantu mereka minum sahaja yang perlu gunakan straw. Hentikan sampah plastik yang tidak diperlukan.

Weight of trash/Berat sampah:
Approximately 8kgs
Anggaran 8kgs
* 3 bags

Number of heroes/Bilangan wira: Solo 

Sponsor: @pahangeco Thank you for the bags!

Due to the increase in COVID-19 cases, we are not having scheduled group clean ups. It was a solo one today. As usual, picnic goers were out at the beach. The sun was scorching after the rain yesterday. Beautiful morning. But trash filled beach sadly. Hoping all the picnic goers clear up after themselves. We can all make a difference. 

Your trash = Your responsibility

Oleh kerana kenaikkan kes COVID-19, kami tidak membuat pembersihan pantai berkumpulan. Solo clean up sahaja hari ini. Seperti biasa dah ada orang datang berkelah di pantai. Matahari dah terik selepas hujan semalam. Pagi yang cukup cantik. Tetapi pantai penuh dengan sampah. Harap² semua orang yang datang berkelah bersihlah selepas habis piknik. Kita semua mampu membawa perubahan. 

Sampah anda = Tanggungjawab anda 

We clean. We educate. We change. 

#stoplittering #environment #awareness #wastedisposal #responsibledisposal  #nosingleuseplastic #sustainability #ecowarriors #ecovolunteers #eastcoast #beachcleanup #oceancleanup #refuse #reduce #recycle #upcycle  #plasticstraws #alamsekitartanggungjawabbersama #pantaitimur #kuantan #majlisbandarayakuantan #alamflora  #sutravillaapartment #pantaipelindung #pantaisepat #telukcempedak #trashherokuantan #trashheromalaysia #trashheroworld"
319,"@4ocean team haiti cleaned over 1090 pounds of trash from the coastline! How incredible, have you ever cleaned up a beach? A great way to support @theglobalgoals SDG 14!
-
#oceancleanup #ocean #4ocean #sdg #sdgs #sdg14 #lifebelowwater #water #ocean #trash #oceanlife #oceanview #sea #haiti #globalgoas #takingaction #goals #boost #spreadawareness #amazing #nft #nftart"
320,"All smiles at the Innovation Center! Michael sits on 1,320 lbs of plastic waste converted into ByBlock diverted from the Ada County Landfill ready for our exhibition build in Boise Towne Square! Stay tuned for more details."
321,"Our reaction when we heard @theoceancleanup recently removed 40,273kg of plastic from the Great Pacific Garbage Patch. 😀🐳👏

Did you know that you can support The Ocean Cleanup North Pacific Foundation when you make a purchase on noleo.com? Simply select them as the cause you want us to donate 1% of your purchase total to at checkout. 

Thanks to our partnership with @shoppinggives, giving back is as easy-peasy as our diaper care!"
322,"Wow, a welcome influx of holiday-makers to the island this week has got waste specialist staff busy!!⁠
⁠
The @fmplgilitrawangan runs operations to sort and process as much waste as possible, so it doesn't end up in the island dump.⁠
With fewer businesses and residential areas sorting their own waste, these dedicated staff often spend hours of their day selecting valuable rubbish from the dump to keep the system running smoothly. ⁠
⁠
This huge block is made of pressed PET drinks bottles weighing in at around 46-50kg each. We are now recycling around 1 tonne of rubbish every month, which gets sent to a larger facility in mainland Lombok.⁠
⁠
We can't recycle our way out of this mess that we created, but for now, we can keep cleaning the island and continue to create salaries for these guys that are working so hard!⁠
⁠
⁠
#plasticwaste #singleuseplastic #plastics #recycling #zerowaste #plasticpollution #planetorplastic #plasticfree #waronwaste #plasticocean #plasticsucks ⁠
#notoplastic #saynotoplastic #noplastic #stopplasticpollution #oceanplastic #goingzerowaste⁠
#plasticpollutes #cleanouroceans #thereisnoplanetb #endplasticpollution #reduceplastic ⁠
#savetheocean #oceancleanup⁠
#2minutebeachclean #plasticfreeforthesea ⁠
#plasticplanet #reducewaste #wastefree #landfill"
323,"„There is no such thing as away. When you throw something away, it must go somewhere.” — Annie Leonard

At least our Sana Mare clean-up teams pick up the trash that others have dumped at the beach, in the ocean or in rivers. From there we sell the recyclables to recycling companies or we dispose it in the best available way in this region.
We aim to carry out at least 200 beach and river cleanups in 2022 and collect at least 40000 kg of waste. Help us to establish this project. With little money we can achieve a lot. Until now we have collected 3,14 kg of waste per 1 € (one Euro only!!!)
By donating only 10€ per month you can remove about 31 kg of waste. Become a donor at www.sana-mare.org/spenden

Our clean-up activities are supported by our friends from @meeresschutz_org

@sanamare.organisationtanzania @sanamare_deutschland

#wasteonthebeach
#beachcleaning
#beachcleanups
#cleanuptheplanet
#cleanuptheworld
#blueplanet
#protectingenvironment
#sdg14
#unsdgs
#sustainability
#sustainable
#sustainablethinking
#saveouroceans
#keepoceansclean
#oceancleanup
#oceanlife
#oceanplastic
#oceanconservation
#savetheoceans
#marineconservation
#ocean
#saynotoplastic
#plasticpollutes
#saynotoplastic
#microplastics
#people
#peoplepower
#fillthebottle"
324,"🚨🆘🚨 Every day over 80,000,000 pounds of plastic enters the ocean! 🧴🍼🌊🐬

This 55 gallon bucket is filled with over 10 pounds of PET plastic. Over 400 plastic bottles and containers, that I collected from around Laguna beach, California. 

It took hours to remove the labels, separate HDPE caps and tabs, wash them, and compact them. 

We need funding to upgrade our plastic recycling process and start building ships to remove oceanic pollution. We can’t afford to do this without everyone’s support! 

100% of the profits made on our 3D printed products goes towards purchasing machinery and equipment we desperately need! 🆘
(Link to our website is in bio) 

#recycle #recycled #recycling #recycledmaterials #recycledart #zerowaste #beachcleanup #beachpollution #oceancleanup #oceanpollution #plastic #plasticpollution #plasticreuse #plasticfree #plasticreborn #plasticrecycle #3dprinting #3dmodeling #3dprinted #savetheplanet #savetheocean #savetheearth #savethewhales #savetheturtles #savethereef #ai #artificialintelligence #redetec3d"
325,"Making ocean activism a hot topic with @naked.4.nature 🌊👙🦈
•
This past Saturday was the perfect day for a Bikini Beach Cleanup! 🌞 110 lbs of mostly single use plastics removed from out local beach 🏖 #KeepMBClean
•
Stay tuned for upcoming events and don’t forget to always #refusesingleuse 🤙
•
📸 Shout-out to @reetabass for the dope shots!!
.
.
.
.
.
.
#cleanthisbeachup #cleanthisbeachupmiami #naked4nature #beachcleanup #miamibeach #miamithingstodo #southbeach #southbeachmiami #stoplittering #leavenothingbutfootprints #miamilife #cleanbeaches #cleanupchallenge #naturalbody #loveyourself #pachamama #giveback #bikini #womenempowerment #womenwhofreedive #trashtotreasure #oceanconservation #oceancleanup #singleuseplastic"
326,"I joined a group to do some coastal  clean up on Ballyholme on Sunday.
26 bags - 119 kg , 42 awesome nature lovers
I found a pair of leggings full of sands, legos, all sort of plastics and a wee plastic horse.

Have you ever found something interesting on the beach? 👇

Are you taking part in any sea, coastal cleaning project? 👇

I love walking on the beach, doing puddleboarding , or swimming and enjoy all the benefits of this beautiful sea. I am so happy to look after it and help the nature breath again💙🌊"
327,"Fishing for Plastic thanks all the visiting boaters who pitched in and piled up over 700 pounds of plastic debris, from the Stocking Island shoreline near George Town.😊😊

A big shout out as well to Roston from Valliant Marine, who donated his time and his boat to remove all the plastic debris from the island!🛥❤️❤️ #volunteering #oceancleanup #plasticpollution"
328,"Just when we thought these guys couldn't get any more amazing 🐳 
Did you know each whale holds around 33 tons of CO2? To put it into perspective, a tree absorbs up to 48 pounds of CO2 each year. Isn't that incredible? And isn't it only fair that we do our upmost to allow these amazing creatures to thrive? 

.

#fitness #workout #gym #leggings #yoga #vegan #veganism #vegansofinstagram #oceancleanup #marinelifematters #sustainable #sustainability #zerowaste #environment #plasticfree #gymwear #plasticfreeoceans #cleanoursea #saveouroceans #sportswear #veganforlife #veganlife #veganathlete #veganbodybuilding #saveoursharks #vegansofig #training #whales #saveourwhales"
329,"Another amazing effort at the Parramatta Riverside Scavenge! 🙌

Thank you so much to everyone who attended over the weekend and all the previous Seaside Scavenges over summer. Around 81% of attendants on Saturday had never been to a clean-up event before and we congratulate you on taking a new step against waste pollution! 

Together we were able to re-direct 54kg of ocean-bound litter with a majority of the 7,129 pieces collected being lightweight soft plastic and packaging, easily blown into waterways.

Whilst this is the final @seasidescavenge event, keep an eye out in the coming weeks for more exciting announcements and opportunities to help prevent and reduce plastic waste! 

#waronwaste #seasidescavenge #oceancleanup #beachcleanup #wastefree #trashtotreasure #oceanpollution"
330,"Did you know that for each NoNetz order, 1 lb of plastic will not enter the ocean? 

How do we make that happen? 

Through @cleanhub.io!

They do incredible work like partnering with @greenworms_ to clean up the Godavari river in India and organizing an educational workshop in Konnad Beach to teach children from the nearby villages all about the problem with plastic waste and how proper management can help when it comes to stopping the plastic pollution of our oceans.

#sustainability #environment #climatechange #plasticpollution #plasticwaste #oceanplastics #plasticfreeoceans #noplanetb #actgreen #plasticfree #oceanlover #cleanrivers #cleanup #oceancleanup"
331,"Posted @withregram • @riseupcleanup Join us this Sunday the 27th of Feb for our 30th beach clean!
Since our beginnings in July 2020 we have collected 603 bags of rubbish, that’s over 3,000kg of rubbish saved from the sea.
We couldn’t do it without all the amazing volunteers who show up to clean up. Anyone can join, we love meeting new people. If you have always thought about it, but never done it, come celebrate our 30th clean with us.

Meet at 11am near the Lido sign, opposite Haeckels. 

Join for 10mins or an hour, it’s totally us to you, every little bit counts. 🐠

#riseupcleanup #margate #beachclean #communitygroup #environmentalactivism #cleanseas #riseupcleanupmargate #binit #ocean #oceancleanup #plasticfree #litterpicking #cleanup #kentcoast #thanet #margatebeach #plasticpollution #protecttheocean #cleanbeaches #keepbritaintidy #keepkentclean #mainsands #endplasticwaste #breakfreefromplastic #litterheroes"
332,"Join us this Sunday the 27th of Feb for our 30th beach clean!
Since our beginnings in July 2020 we have collected 603 bags of rubbish, that’s over 3,000kg of rubbish saved from the sea.
We couldn’t do it without all the amazing volunteers who show up to clean up. Anyone can join, we love meeting new people. If you have always thought about it, but never done it, come celebrate our 30th clean with us.

Meet at 11am near the Lido sign, opposite Haeckels. 

Join for 10mins or an hour, it’s totally us to you, every little bit counts. 🐠

#riseupcleanup #margate #beachclean #communitygroup #environmentalactivism #cleanseas #riseupcleanupmargate #binit #ocean #oceancleanup #plasticfree #litterpicking #cleanup #kentcoast #thanet #margatebeach #plasticpollution #protecttheocean #cleanbeaches #keepbritaintidy #keepkentclean #mainsands #endplasticwaste #breakfreefromplastic #litterheroes"
333,"Gaian Tribe, sharing some amazing news from the 
 @theoceancleanup team.

Follow this actions and services around the world. Keep the faith up and strong. 

It depends on all of us, and there are currently so many beautiful projects, actively dealing with the issues that no news or government information will give you. 

Edit your resources and stay positive to make that needed change our planet needs.

🌎💚🙏🏻🌈🌊

•••••••
Thanks to System 002, Jenny, the ocean is now ‘missing’ 40,273kg of plastic – or 1/2500th of the Great Pacific Garbage Patch. 🗑 

Swipe through some facts about Jenny's performance, learnings, and interactions with the marine environment.

#oceancleanup #ocean #greatpacificgarbagepatch #cleanoceans #planet #environmentalist #marineconservation #marine #marineeducation"
334,"S/o to these awesome volunteers who removed 60 lbs of trash from Haulover Beach and then enjoyed a yoga class led by the fabulous @bonbonwaxman this past Tuesday! 🧘🏾‍♀️🏖

Experiencing fomo? Don’t worry we gotchu! This time next week we will be hosting another yoga cleanup at Regatta Park! S/o to @myearthbreeze for sponsoring this event and to @ktsauvigne for leading the yoga class 🥳💙 There will also be an @asanaarmor pop-up shop, where you can browse eco-activewear made from recycled plastic + cotton 😍.

RSVP at our link in bio! 📲"
335,"#collectandprotect - Clean Up after the storm! Storms don't last forever, plastic lasts forever! 🌀🚯🌎

Weekend Clean Up - Week 6:

1,1 kg plastic trash
2 h
3 km 

#storm #plasticpollution
#cleanup #stopplasticpollution
#stopplastic #noplastic #weekend #bethechange #makeadifference #thereisnoplanetb #climatechange #pickupplastic #pickuptrash #lakecleanup #oceancleanup #naturelovers #quotes #müllsammeln #naturschutz #umweltschutz #motivation #change #sturm #plogging"
336,"Reposted from @selkiejewellery This is our kind of fishing! How brilliant is this?!👌 
Amazing work guys!🙌
Reposted from @theoceancleanup Here’s the footage of another 3810kg catch from the Great Pacific Garbage Patch on February 5th. Next extraction is scheduled today. ✔️ 
.
.
.
.
.
#oceancleanup 
#greatpacificgarbagepatch 
#fishing 
#fishingrope 
#ghostgear 
#brilliant 
#cleanup 
#marineconservation 
#sealife 
#saveourseas 
#turningthetide 
#plasticocean 
#plasticpollution 
#solution 
#nobluenogreen 
#oceanlove"
337,"This is our kind of fishing! How brilliant is this?!👌 
Amazing work guys!🙌
Reposted from @theoceancleanup Here’s the footage of another 3810kg catch from the Great Pacific Garbage Patch on February 5th. Next extraction is scheduled today. ✔️ 
.
.
.
.
.
#oceancleanup 
#greatpacificgarbagepatch 
#fishing 
#fishingrope 
#ghostgear 
#brilliant 
#cleanup 
#marineconservation 
#sealife 
#saveourseas 
#turningthetide 
#plasticocean 
#plasticpollution 
#solution 
#nobluenogreen 
#oceanlove"
338,"It takes over 24 hours to print the 12 pounds of recycled plastic into this Reef tank. 
♻️🏝

We are planning to use these units as farms for endangered and threatened coral species, we’re not taking any chances with low quality equipment. 
All the parts of this reef aquarium were highly recommended by reef keeping professionals and marine biologists as the best equipment to use. 

This is only a prototype and the prices or equipment may change but the current cost of this unit is over $2500 in bought parts. 

For full transparency here’s the prices of the lights, motors, and equipment used on this reef tank. 

@aquaillumination 
AI prime 16HD $230 
AI prime 16HD Fuge $230

@redsea.aquatics 
(Red Sea Reefdose 2)x2 $540
Red Sea foundation 3 part $30
Red Sea trace colors $25 
Multi test kit $55
Coral pro salt $40

@advanced_acrylics_ 
Museum quality acrylic aquarium $500

@abyzzofficial 
A100 DC pump $1,500

We’re able to afford this awesome equipment thanks to the sales of our 3D printed products. 

Please consider buying one of our vases or DM us and we can make you almost anything out of recycled plastic! ♻️

We also have a PayPal donation button and fundraising campaign on our website linked in bio 📲

Thank you for all your support! 
We’re deep in a ocean of gratitude.
🌊🌊🌊🌊🌊🌊🌊🌊🌊

#recycle #recycled #recycling #recycledmaterials #recycledart #zerowaste #beachcleanup #beachpollution #oceancleanup #oceanpollution #plastic #plasticpollution #plasticreuse #plasticfree #plasticreborn #plasticrecycle #3dprinting #3dmodeling #3dprinted #savetheplanet #savetheocean #savetheearth #savethewhales #savetheturtles #savethereef #ai #artificialintelligence #redetec3d"
339,"The ocean gives us so much, it’s important we give back to it. Here’s a video about our Dive Against Debris last Saturday. Huge mahalo to the divers and snorkelers who joined us and helped remove 110 pounds of trash from the ocean. 

Last weekend’s dive was such a success we plan to regularly host clean up dives. Email us at gopro@goscubadivemaui.com if you’d like to be added to our clean up dive contact list. 

🎥: @shootsproductions 
.
.
.
.
.
#malamamala #diveagainstdebris #padiaware #projectaware #divemaui #divehawaii #scubadiving #scuba #whydivehawaii #divelife #protectouroceans #protectwhatyoulove #saveouroceans #mauiscuba #cleanupdive #oceancleanup"
340,"Our global network of local waste collection hubs is growing. 🎉

We are beyond excited to have partnered with vRecyle, a waste management organization in Goa!

vRecycle's model is designed to support local communities to manage their waste self-sufficient and can be replicated very easily in developing areas as it is low cost, low manpower-intensive but highly impactful.😎

Up to now, they are the most essential partner to over 25,000 homes that effectively manage their waste through them - with their facilities processing more than 3,500 kg of waste every single day.

Our aim is to recover 250 tonnes of plastic together this year and we are looking forward to every single kg of it! 🤗

#ForCleanOceans #cleanrivers #oceanplastics #ocean #saveouroceans #saveourplanet #deepblue #noplanetb #climatechange #climateaction #plasticfreeoceans #cleanup #oceancleanup"
341,"Reposted from @theoceancleanup 

Here’s the footage of another 3810kg catch from the Great Pacific Garbage Patch on February 5th. Next extraction is scheduled today. ✔️

#oceantrash #instagood #ig #greatpacificgarbagepatch #oceancleanup #plasticsea #cleaningtime  #ocean #sea #marinelife #testrun #success #sustainable #sustainablelife #zerowaste #system002 #finaltest #wastefreeplanet #blueoceanacean #doitfordavidattenbourough #earthstribe

@xruniversitiesuk 
@xrebellionuk 
@xrsouthampton 
@xr_london 
@xrfashionaction 
@xrcardiff"
342,"10kg less of Ghost net in the Ocean! 💪😳🌎

I found many pieces of fishing net and most of them were wrapped in poor Acropora. 

A big piece that took me over an hour to remove was wrapped in 3 large Acropora digitifera. 

unfortunately I didn't have a camera handy, I was rather preoccupied with starting to clean up this magnificent bay crowded with ghost net.  tomorrow I will have the chance to have help and we will go scubadiving!

#ghostnet #ghostnets #cleanup #oceancleanup #HELP #stopfishing #cleanmyocean #safelife #acropora #fishingnet #snorkeling #oceanquest #oceanquestglobal #oceanquestthailand"
343,"10kg less of Ghost net in the Ocean! 💪😳🌎

I found many pieces of fishing net and most of them were wrapped in poor Acropora. 

A big piece that took me over an hour to remove was wrapped in 3 large Acropora digitifera. 

unfortunately I didn't have a camera handy, I was rather preoccupied with starting to clean up this magnificent bay crowded with ghost net.  tomorrow I will have the chance to have help and we will go scubadiving!

#ghostnet #ghostnets #cleanup #oceancleanup #HELP #stopfishing #cleanmyocean #safelife #acropora #fishingnet #snorkeling #oceanquest #oceanquestglobal #oceanquestthailand"
344,"Congrats to @rivercleanup for cleaning up 1.000.000 kg’s of river plastic! Keep up the good work and we can’t wait for you guys to reach your next goal💪 
Let us know if you ever need an official timekeeper😉
#fromnettowatch #arecyclingstoryonyourwrist #rivercleanup #rivercleanupchallenge"
345,Today we pulled 2600lbs of strofoam and plastic out of 150 FEET of shoreline and didn't even capture everything possible.. This is the sad reality of what Haida Gwaii and the rest of BCs prestine coastlines look. I'm so greatful for the opportunity to participate in such an important project with the Clean Coast Clean Waters Initiative. Whatever is recyclable in the debris collected will ultimately make its way down to @theoceanlegacy where it will be processed and shredded for reuse. @highlandermarineservicesltd #marinedebris #plasticcoast #oceancleanup #beachcleanup #plasticpollution #haidagwaii #westcoast #pnw #bc @gohaidagwaii @haidagwaii_observer @haidagwaiitrader @governmentofbc @yourbcparks
346,"New!  Flip Flop Animals from Kenya.  Crafted of cleaned up-recycled flip flops that wash up on Kenyan beaches. 

We’ve carried these in the past, but not for years.  While an amazing cause with excellent goals of both ocean cleanup and helping people, we felt the price point was too high.  The prices are now more affordable so we are bringing them in again as a test to see if we will expand the line. 

Inspired by the toys children were making out of the flip-flop debris, entrepreneurs encouraged their mothers to collect, wash, and cut the discarded flip-flops into colourful products to sell at local Kenyan Markets as another means of income for their families.

Every day thousands of imported foam, disposable flip flops wash up on Kenyan beaches.  It is a serious problem.  This workshop arranges beach cleanups and separates and recycles the various garbage including the flip flops and styrofoam. 

The flip flops are rigorously cleaned, separated by color and then glued together.  These blocks of flip flops are then carved with knives into colorful African and ocean Animals. 

Their enterprise positively impacts over a 1,000 Kenyans through the collection of flip-flops and direct employment. 

They employ full time nearly 100 low-income Kenyans.  Their goal is to recycle over a million flip flops per year (they accomplished recycling approximately 750,000 flip flops - over 100,000 pounds in 2021). They also recycle over one ton of styrofoam collected off beaches every month, and save over five hundred trees a year - by using flip flops instead of wood. 

We will feature these in our live sale this Friday (Feb 11th) on our main facebook from 5-9pm and offer them in store. 

If they prove popular enough we will expand the line! 

Zanzibar Fair Trade 

1315 Broadway 
Sacramento Ca 95818 

Hours:  open 7 days Mondays - Saturdays 10-6, Sundays 10-4 

916 443-5601 

Www.Zanzibartrading.Com 

#kenya #kenyan #fairtrade #folkart #recycled #flipflops #flipflopanimals #africananimals #animalcarvings #africananimalcarvings #recycledflipflopaninals #oceancleanup #kenyanflipflopanimals"
347,"To date, we have removed 72,527 pounds of litter from our coastlines!🌊 🌍 🎉 Picking up litter doesn't have to be a dirty job and it's actually quite FUN when our volunteer cleanup kit is involved! ​​​​​​​​
​​​​​​​​
Do you have yours yet ⁉ It's a must have! The Trash Bagger takes the dirty work out of picking up litter. 💪🏻​​​​​​​​
​​​​​​​​
Pick up yours today! www.thecleanearthproject.com​​​​​​​​
​​​​​​​​
​​​​​​​​
#thecleanearthproject #thecleanearthcrew #litter #littercleanup #pickitup #keepitclean #keeptheoceanclean #OceanCleanUp #ocean #litterati #litterpicking #lovewhereyoulive #thetrashbagger #garbograbber #trashfreeseas"
348,"🥤As plastic breaks down into ever-smaller pieces it also enters the marine food chain, 🐟being ingested in everything from whales to turtles to tiny plankton.🦐

⚓️Getting that plastic out of the water again is nearly impossible, so 👨🏻‍💼👨🏽‍⚖️🧑🏼‍💼policymakers should focus on preventing any more of it from entering the oceans in the first place.🏖

•-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-•

♻️Follow @recyclewithme.world
🗑 Follow @recyclewithme.world
🌎Follow @recyclewithme.world
to help us grow, support youth and empower environmental awareness.

•-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-•

🔗Learn more about #100poundsofplastic to start your own journey or share with us

•-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-•

🎨Featuring artwork by @iconeo who created these illustrations for an exhibition about plastic pollution 🌊

•-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-•

#waterpollution #plasticsucks #recyclewithme #beatplasticpollution #naturelover #savetheplanet #trashhero #nurtureournature #leaveitbetter #cleaningtheplanet #iconeo #plasticpollution #zerowaste #cleanseas #oceanart #oceancleanup #fridaysforfuture #noplanetb"
349,"🌊💙 WANTED: Ocean tribute leaders. 

Our community of 130+ sustainable brands has enabled the recovery of 1.071.121 kg of plastic waste so far (yes, that's more than 1 MILLION kg!)
And this number is increasing day by day. 

All the brands that we partner with are huge on minimizing their plastic footprint to the fullest and preventing plastic from entering our oceans with every product they sell. 💯

👉 (go check them out on cleanhub.com) 

As we need more companies to help us rid this world of plastic pollution, we'd like to get your input.

❗Which other fantastic brands should help us on this mission #forcleanoceans?

Tag your favorite brands under this post and encourage them to join our community of ocean tribute leaders!

#sustainability #sustainablebrands #sustainableliving #sustainablebusiness #brands #plasticfreeoceans #plasticfree #zerowaste #zeroplastic #cleanrivers #cleanoceans #singleuseplastic #oceancleanup #climateaction"
